ax,ay,az,atotal,soco
-0.27,-0.24,0.28,0.45,0
-0.19,-0.24,0.34,0.45,0
-0.15,0.17,-0.4,0.45,0
-0.1,0.22,-0.38,0.45,0
-0.06,-0.19,-0.41,0.45,0
0.05,-0.21,0.41,0.46,0
-0.2,-0.24,0.34,0.46,0
-0.01,-0.3,0.35,0.46,0
-0.41,-0.13,-0.2,0.47,0
-0.35,-0.26,0.2,0.47,0
-0.13,-0.14,-0.44,0.47,0
-0.06,-0.31,0.35,0.47,0
0.28,0.21,-0.34,0.48,0
0.1,-0.29,0.38,0.48,0
-0.37,0.21,-0.23,0.48,0
-0.34,0.01,0.35,0.48,0
0.15,-0.13,0.46,0.5,0
-0.39,0.04,-0.32,0.5,0
-0.36,0.16,-0.31,0.5,0
-0.44,-0.03,0.26,0.51,0
-0.36,-0.36,-0.12,0.52,0
0.31,0.43,0.04,0.53,0
0.16,0.25,-0.44,0.53,0
0.12,0.28,-0.44,0.53,0
-0.44,-0.28,0.1,0.53,0
-0.44,-0.21,0.22,0.53,0
-0.4,-0.17,-0.32,0.53,0
0.54,-0.04,0.07,0.54,0
0.23,0.08,0.49,0.54,0
0.04,-0.24,0.49,0.54,0
-0.44,-0.3,0.15,0.55,0
-0.4,-0.08,-0.37,0.55,0
-0.01,0.23,0.5,0.55,0
0.48,-0.07,0.29,0.56,0
0.4,-0.06,0.4,0.56,0
-0.09,-0.39,0.4,0.56,0
0.38,-0.02,0.43,0.57,0
0.25,0.25,-0.45,0.57,0
-0.51,-0.26,0.0,0.57,0
-0.43,0.29,-0.24,0.57,0
0.06,0.25,-0.53,0.58,0
0.04,-0.47,0.34,0.58,0
0.03,-0.35,-0.47,0.58,0
-0.43,0.13,-0.38,0.58,0
0.17,0.22,-0.53,0.59,0
0.04,0.19,0.57,0.6,0
-0.47,0.14,-0.35,0.6,0
0.08,0.27,-0.55,0.61,0
-0.55,-0.27,0.03,0.61,0
-0.45,-0.21,0.37,0.61,0
-0.44,0.39,-0.18,0.61,0
-0.43,0.18,-0.4,0.61,0
0.49,-0.08,0.38,0.62,0
0.12,-0.56,0.26,0.62,0
-0.54,-0.31,0.08,0.62,0
0.38,0.39,0.32,0.63,0
0.18,-0.39,0.47,0.63,0
-0.44,0.18,-0.42,0.63,0
-0.09,-0.44,0.45,0.63,0
0.2,-0.42,0.45,0.64,0
0.19,0.14,0.6,0.64,0
0.05,0.25,-0.59,0.64,0
0.55,-0.08,0.35,0.65,0
-0.37,0.37,0.4,0.65,0
0.37,-0.53,0.15,0.66,0
-0.41,0.52,-0.08,0.66,0
